strategy_id,family,variant,category,base_description,test_objective,universe_or_assets,rule_or_parameter,cadence,account_context,default_benchmarks,complexity_1_6,catalog_status,source_name,source_url,source_support,safety_note,include_in_load_test
WM-0011,Dollar-cost averaging,Month start,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,VT,$2000 first session,monthly,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0012,Dollar-cost averaging,Month end,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,VT,$2000 last session,monthly,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0013,Dollar-cost averaging,Quarterly bonus,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,60/40,$6000 quarter end,quarterly,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0014,Dollar-cost averaging,Annual year-end,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,60/40,$24000 Dec,annual,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0015,Dollar-cost averaging,Market-down-day contribution,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,VTI,$2000 on first negative month,conditional,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0016,Dollar-cost averaging,Contribution plus match,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,TDF,6% salary + 3% match,payroll,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0017,Rebalancing,Annual,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,60/40,calendar Jan,annual,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0018,Rebalancing,Quarterly,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,60/40,quarter end,quarterly,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0019,Rebalancing,Monthly,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,risk parity,month end,monthly,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0020,Rebalancing,5% absolute band,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,60/40,drift >5pp,threshold,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0021,Rebalancing,20% relative band,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,80/20,relative drift >20%,threshold,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0022,Rebalancing,Cash-flow rebalance,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,three-fund,new money only,event,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0023,Rebalancing,Tax-aware rebalance,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,three-fund,prefer sheltered accounts,threshold,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0024,Rebalancing,No-sell rebalance,Portfolio maintenance,Restore target weights by time or drift,Maintain declared risk exposure,equity basket,new contributions only,event,taxable|traditional|roth,buy and hold|annual rebalance,2,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0025,Factor tilts,Value tilt,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,US value ETF,30% satellite,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0026,Factor tilts,Small value,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,US small value,20% satellite,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0027,Factor tilts,Quality,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,quality ETF,30% satellite,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0028,Factor tilts,Momentum,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,momentum ETF,30% satellite,monthly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0029,Factor tilts,Low volatility,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,min-vol ETF,40% satellite,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0030,Factor tilts,Dividend growth,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,dividend growth ETF,40% satellite,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0031,Factor tilts,Multi-factor,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,value+quality+momentum,equal factor sleeves,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0032,Factor tilts,Equal weight,Systematic equity,Rules-based factor exposure layered on index beta,Test systematic return and risk tilts,S&P 500 equal weight,100%,quarterly,taxable|traditional|roth,market cap index|equal weight,3,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0033,Risk-based allocation,Inverse volatility,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,stocks+bonds+gold,63d vol,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0034,Risk-based allocation,Risk parity,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,stocks+bonds+gold+commodities,126d cov,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0035,Risk-based allocation,Hierarchical risk parity,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,multi-asset ETF set,252d cov,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0036,Risk-based allocation,Minimum variance,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,multi-asset ETF set,252d sample cov,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0037,Risk-based allocation,EWMA minimum variance,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,multi-asset ETF set,halflife 63,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0038,Risk-based allocation,Max diversification,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,multi-asset ETF set,252d,monthly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0039,Risk-based allocation,Volatility target 10%,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,60/40 + cash,target 10%,weekly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0040,Risk-based allocation,Drawdown-aware risk budget,Portfolio construction,Allocate by estimated risk rather than capital,Compare risk allocation methods,multi-asset,reduce after 10% DD,weekly,taxable|traditional|roth,60/40|equal weight,4,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0041,Trend and moving-average,SPY below 200DMA basket buy,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,AMZN+META+GOOGL+ORCL+AAPL+NVDA,buy when SPY<200SMA,daily,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0042,Trend and moving-average,Cross below 200DMA only,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,same basket,cross event,daily,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0043,Trend and moving-average,10-month SMA switch,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,SPY/T-Bills,month end,monthly,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0044,Trend and moving-average,Dual momentum,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,US vs ex-US vs bonds,12m lookback,monthly,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0045,Trend and moving-average,50/200 crossover,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,SPY/cash,golden/death cross,daily,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0046,Trend and moving-average,Trend-filtered DCA,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,VTI,DCA only above 200DMA,monthly,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0047,Trend and moving-average,Crash accelerator,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,VTI,double contribution after -20%,monthly,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0048,Trend and moving-average,Volatility trend,Tactical allocation,Condition exposure on trend or moving-average state,Test timing rules against passive baselines,SPY/cash,trend + vol filter,weekly,taxable|traditional|roth,buy and hold|DCA,3,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.,Requires compiler confirmation; not a recommendation,Yes
WM-0049,Tax-loss harvesting,Monthly ETF pair,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,VTI↔SCHB,loss >5%,monthly,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0050,Tax-loss harvesting,Daily direct-index scan,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,S&P 500 basket,loss >3%,daily,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0051,Tax-loss harvesting,Quarterly harvest,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,three-fund,net losses,quarterly,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0052,Tax-loss harvesting,Year-end harvest,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,taxable portfolio,Nov-Dec,annual,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0053,Tax-loss harvesting,Gain budget + losses,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,direct index,gain budget 1%,monthly,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0054,Tax-loss harvesting,Short-term loss priority,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,direct index,ST losses first,daily,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0055,Tax-loss harvesting,Tracking-error constrained,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,direct index,TE <=2%,daily,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0056,Tax-loss harvesting,Charitable gain offset,Tax management,Realize losses while maintaining similar exposure,Measure after-tax benefit and tracking error,concentrated stock,donate gains + harvest losses,annual,taxable,same portfolio without TLH,5,SYNTHETIC_TEST_FLAVOR,Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.,Requires compiler confirmation; not a recommendation,Yes
WM-0057,Direct indexing,S&P 500 representative,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,100-stock sample,TE <=1%,daily,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0058,Direct indexing,Russell 1000 representative,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,200-stock sample,TE <=1.5%,daily,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0059,Direct indexing,Exclude employer,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,S&P 500 ex employer,sector constraints,monthly,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0060,Direct indexing,ESG exclusions,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,broad US ex screened names,TE <=2%,monthly,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0061,Direct indexing,Gain-budget transition,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,legacy portfolio→index,annual gain budget,monthly,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0062,Direct indexing,Concentrated-stock completion,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,index ex existing stock,complete exposure,monthly,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0063,Direct indexing,Tax-loss optimized,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,broad US,daily harvesting,daily,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0064,Direct indexing,Charitable-lot aware,Customized indexing,Own constituent stocks to customize and harvest losses,Track index with exclusions and tax controls,broad US,reserve appreciated lots,monthly,taxable,index ETF|custom index,5,SYNTHETIC_TEST_FLAVOR,Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.,Requires compiler confirmation; not a recommendation,Yes
WM-0065,Asset location,Bonds traditional,Tax management,Place assets across account types for after-tax efficiency,Compare after-tax outcomes across account placement,stocks taxable/Roth; bonds traditional,balanced,annual,taxable+traditional+roth,same allocation random location|pro-rata location,5,SYNTHETIC_TEST_FLAVOR,Vanguard - Asset location,https://corporate.vanguard.com/content/corporatesite/us/en/corp/articles/how-asset-location-can-boost-after-tax-returns.html,"Placement of assets across taxable, tax-deferred, and Roth accounts.",Requires compiler confirmation; not a recommendation,Yes
WM-0066,Asset location,High-growth Roth,Tax management,Place assets across account types for after-tax efficiency,Compare after-tax outcomes across account placement,small/value/Roth,growth priority,annual,taxable+traditional+roth,same allocation random location|pro-rata location,5,SYNTHETIC_TEST_FLAVOR,Vanguard - Asset location,https://corporate.vanguard.com/content/corporatesite/us/en/corp/articles/how-asset-location-can-boost-after-tax-returns.html,"Placement of assets across taxable, tax-deferred, and Roth accounts.",Requires compiler confirmation; not a recommendation,Yes
